gene_name	panacota	panaroo	panaroodefault	roarydefault
gene_81	KLPN_ST25810152	priB	priB	priB
gene_82	KLPN_ST25810153	group_3895	group_3665	group_19357
gene_83	KLPN_ST25810154	group_1417	group_1320	group_19531
gene_84	KLPN_ST25810155	group_783	group_302	group_5893
gene_85	KLPN_ST25810156	group_4153	group_3915	secM
gene_86	KLPN_ST25810157	group_4938	group_4699	group_8081
gene_87	KLPN_ST25810158	pulA_1~~~pulA~~~pulA_2	pulA_1~~~pulA~~~pulA_2	pulA
gene_88	KLPN_ST25810159	group_2812	group_2683	lpxA
gene_89	KLPN_ST25810160	group_3724	group_3495	eamB
gene_90	KLPN_ST25810161	group_6477	group_6892	group_21032
gene_91	KLPN_ST25810162	group_6958	group_7382	group_9220
gene_92	KLPN_ST25810163	group_864	group_5196	group_19998
gene_93	KLPN_ST25810164	group_5297	group_5056	atl
gene_94	KLPN_ST25810165	group_4023	group_3784	priC
gene_95	KLPN_ST25810166	group_4204	group_3968	ppiB
gene_96	KLPN_ST25810168	rbsA_1~~~mglA_1~~~mglA_3	rbsA_1~~~mglA_1~~~mglA_3	group_6212
gene_97	KLPN_ST25810169	group_5967	group_6382	group_6680
gene_98	KLPN_ST25810170	fabG_4	fabG_4	fabG_4
gene_99	KLPN_ST25810171	group_7680	group_8184	group_7310
gene_100	KLPN_ST25810172	dcuD_2~~~dcuD~~~dcuD_1	dcuD_2~~~dcuD~~~dcuD_1	dcuD
gene_101	KLPN_ST25810173	selB_2~~~tuf~~~selB~~~selB_1	selB_2~~~tuf~~~selB~~~selB_1	selB
gene_102	KLPN_ST25810174	fis	fis	fis
gene_103	KLPN_ST25810175	group_4763	group_4523	rpsI
gene_104	KLPN_ST25810176	yhaK	yhaK	yhaK
gene_105	KLPN_ST25810177	group_3156	group_2984	ureF
gene_106	KLPN_ST25810178	rhaS_2~~~rhaS_1	rhaS_2~~~rhaS_1	rhaS_1
gene_107	KLPN_ST25810179	group_1051	group_5755	group_12003
gene_108	KLPN_ST25810180	group_7637	group_8140	group_3142
gene_109	KLPN_ST25810181	yggX	yggX	yggX
gene_110	KLPN_ST25810182	group_2890	group_2753	menH_1
gene_111	KLPN_ST25810183	group_3071	group_2911	glvR
gene_112	KLPN_ST25810184	group_6032	group_6454	group_11571
gene_113	KLPN_ST25810185	group_5208	group_4959	group_20591
gene_114	KLPN_ST25810186	fucP_2	fucP_2	fucP_1
gene_115	KLPN_ST25810187	group_6277	group_6697	group_9511
gene_116	KLPN_ST25810188	group_2148	group_2022	hmuU_1
gene_117	KLPN_ST25810189	hycE_1~~~hycE~~~hycE_2~~~nuoC_2	hycE_1~~~hycE~~~hycE_2~~~nuoC_2	hycE
gene_118	KLPN_ST25810190	adh~~~ald1	adh~~~ald1	ald1
gene_119	KLPN_ST25810191	group_3039	group_2881	bamD
gene_120	KLPN_ST25810192	purL_9~~~purL_8~~~purL	purL_9~~~purL_8~~~purL	purL
gene_121	KLPN_ST25810194	group_7433	group_7835	group_7609
gene_122	KLPN_ST25810195	yfeY	yfeY	yfeY
gene_123	KLPN_ST25810196	group_3038	group_2880	ypdB
gene_124	KLPN_ST25810197	dedD~~~dedD_1~~~dedD_2	dedD~~~dedD_1~~~dedD_2	dedD
gene_125	KLPN_ST25810198	group_3949	group_3715	nuoI
gene_126	KLPN_ST25810199	mepS_2~~~mepS	mepS_2~~~mepS	mepS_2
gene_127	KLPN_ST258101	fbp	fbp	fbp
gene_128	KLPN_ST25810200	mtlK~~~uxaB_2	mtlK~~~uxaB_2	NA
gene_129	KLPN_ST25810255	mltF_2~~~pheC	mltF_2~~~pheC	pheC
gene_130	KLPN_ST25810271	mtrA	mtrA	mtrA
gene_131	KLPN_ST2581027	nagE~~~nagE_2	nagE~~~nagE_2	nagE
gene_132	KLPN_ST25810295	group_250	group_391	group_4422
gene_133	KLPN_ST258102	group_4422	group_4196	tabA
gene_134	KLPN_ST25810333	galD	galD	galD
gene_135	KLPN_ST2581036	btuB_1~~~fecA_1	btuB_1~~~fecA_1	fecA
gene_136	KLPN_ST258103	group_3112	group_2944	group_11949
gene_137	KLPN_ST25810400	asnS	asnS	asnS
gene_138	KLPN_ST25810417	deoR	deoR	deoR
gene_139	KLPN_ST25810418	rhtA~~~rhtA_1~~~rhtA_2	rhtA~~~rhtA_1~~~rhtA_2	rhtA
gene_140	KLPN_ST25810419	group_4102	group_3866	moaB
gene_141	KLPN_ST25810420	pgl_1~~~pgl_2	pgl_1~~~pgl_2	pgl_1
gene_142	KLPN_ST25810421	group_168	group_219	sucA
gene_143	KLPN_ST25810422	group_2864	group_1159	glnS
gene_144	KLPN_ST25810423	group_3465	group_3251	lipB
gene_145	KLPN_ST25810424	group_1657	group_1541	codA_1
gene_146	KLPN_ST25810425	group_2307	group_2184	aptB_1
gene_147	KLPN_ST25810426	group_2341	group_2218	group_11189
gene_148	KLPN_ST25810427	ecpD_2~~~ecpD_3~~~ecpD_1	ecpD_2~~~ecpD_3~~~ecpD_1	ecpD_2
gene_149	KLPN_ST25810428	iprA_2	group_5215	group_11283
gene_150	KLPN_ST25810429	hiuH~~~hiuH_1	hiuH~~~hiuH_1	hiuH
gene_151	KLPN_ST25810432	group_3466	group_3252	adk
gene_152	KLPN_ST25810433	rcnR	rcnR	rcnR
gene_153	KLPN_ST25810434	group_3623	group_3397	cyoC
gene_154	KLPN_ST25810435	group_2210	group_2087	secF
gene_155	KLPN_ST25810436	group_2731	group_2603	proC
gene_156	KLPN_ST25810437	group_2698	group_2569	glnQ_1
gene_157	KLPN_ST25810438	malT_1~~~pknK	malT_1~~~pknK	pknK
gene_158	KLPN_ST25810439	nqrC_1~~~nqrC_2	nqrC_1~~~nqrC_2	nqrC
gene_159	KLPN_ST25810440	group_5720	group_5920	rof
gene_160	KLPN_ST25810441	clcA	clcA	clcA
gene_161	KLPN_ST25810442	group_984	group_5536	panD
gene_162	KLPN_ST25810443	group_6648	group_7068	pilE1
gene_163	KLPN_ST25810444	group_2686	group_2558	rsmA
gene_164	KLPN_ST25810445	group_1682	group_1566	nhaA
gene_165	KLPN_ST25810446	group_3109	group_2941	deoD
gene_166	KLPN_ST25810447	group_2584	group_2462	manZ_2
gene_167	KLPN_ST25810448	group_4103	group_3867	hpaC
gene_168	KLPN_ST25810449	yhhJ~~~yhhJ_2	yhhJ~~~yhhJ_2	yhhJ
gene_169	KLPN_ST25810450	group_1023	NA	NA
gene_170	KLPN_ST25810451	iolB_2~~~iolB_1~~~iolB	iolB_2~~~iolB_1~~~iolB	iolB
gene_171	KLPN_ST25810452	group_5513	group_5440	relE
gene_172	KLPN_ST25810453	group_6432	group_6851	group_19314
gene_173	KLPN_ST25810454	group_4583	group_4353	nsrR
gene_174	KLPN_ST25810457	group_7054	group_7478	mltF_2
gene_175	KLPN_ST25810458	group_4830	group_4591	ridA_1
gene_176	KLPN_ST25810459	group_3726	group_3497	group_20335
gene_177	KLPN_ST25810460	fadA~~~fadA_1~~~fadA_2	fadA~~~fadA_1~~~fadA_2	fadA
gene_178	KLPN_ST25810461	group_6122	group_6545	group_19430
gene_179	KLPN_ST25810462	ilvA_1~~~ilvA_2	ilvA_1~~~ilvA_2	ilvA
gene_180	KLPN_ST25810463	group_5247	group_5003	metJ
gene_181	KLPN_ST25810464	dsbA_1	dsbA_1	dsbA_2
gene_182	KLPN_ST25810465	pstS_2~~~pstS_1	pstS_2~~~pstS_1	pstS
gene_183	KLPN_ST25810470	group_2723	group_2595	yidA
gene_184	KLPN_ST25810471	uhpB_1~~~uhpB_2	uhpB_1~~~uhpB_2	uhpB
gene_185	KLPN_ST25810472	oprM_4~~~oprM_3	oprM_4~~~oprM_3	NA
gene_186	KLPN_ST25810473	sbp	sbp	sbp
gene_187	KLPN_ST25810474	group_2735	group_2607	mutM
gene_188	KLPN_ST25810475	glgS	glgS	glgS_2
gene_189	KLPN_ST25810476	group_2213	group_2090	ghrB
gene_190	KLPN_ST25810477	nikB	nikB	nikB
gene_191	KLPN_ST25810478	group_1599	group_1486	group_20950
gene_192	KLPN_ST25810479	malP_1	malP_1	malP_1
gene_193	KLPN_ST25810480	cysG_2~~~cysG_3	cysG_2~~~cysG_3	cysG_2
gene_194	KLPN_ST25810481	group_1020	group_5642	bfd
gene_195	KLPN_ST25810482	mscL	mscL	mscL
gene_196	KLPN_ST25810483	group_5391	group_5143	group_11943
gene_197	KLPN_ST25810484	group_5687	group_5865	bhsA_3
gene_198	KLPN_ST25810485	group_2474	group_2352	nlpI
gene_199	KLPN_ST25810486	group_6113	group_6536	group_7425
gene_200	KLPN_ST25810487	group_3103	group_1194	lsrK
gene_201	KLPN_ST25810488	group_5617	group_5720	group_21010
gene_202	KLPN_ST25810489	cpdA_1~~~cpdA_2~~~cpdA_3	cpdA_1~~~cpdA_2~~~cpdA_3	cpdA_1
gene_203	KLPN_ST25810490	group_7447	group_7848	group_9183
gene_204	KLPN_ST25810491	group_0	group_24	group_9951
gene_205	KLPN_ST25810492	group_3662	group_3433	group_11917
gene_206	KLPN_ST25810493	group_5328	group_5084	group_19790
gene_207	KLPN_ST25810494	group_4781	group_4541	gcvH
gene_208	KLPN_ST25810496	group_2500	group_2378	pdxI
gene_209	KLPN_ST25810498	pal_2	pal_2	pal_1
gene_210	KLPN_ST25810499	group_39	group_5234	recO
gene_211	KLPN_ST258104	group_8011	group_8728	hadI
gene_212	KLPN_ST25810500	hscA	hscA	hscA
gene_213	KLPN_ST25810538	rcsD_2~~~rcsD~~~rcsD_1	rcsD_2~~~rcsD~~~rcsD_1	rcsD
gene_214	KLPN_ST25810540	mpl	mpl	mpl
gene_215	KLPN_ST25810543	luxO~~~acoR	luxO~~~acoR	acoR
gene_216	KLPN_ST2581055	group_7405	group_7809	group_1965
gene_217	KLPN_ST25810560	group_7626	group_7358	group_9482
gene_218	KLPN_ST25810562	pbpC	pbpC	pbpC
gene_219	KLPN_ST25810565	malE_1~~~malE~~~malE_2	malE_1~~~malE~~~malE_2	malE
gene_220	KLPN_ST25810581	btuD_3	btuD_3	btuD_6
gene_221	KLPN_ST258105	dan_1~~~dan	dan_1~~~dan	dan
gene_222	KLPN_ST25810639	dsbG	dsbG	dsbG
gene_223	KLPN_ST25810671	cysG_2~~~cysG_1	cysG_2~~~cysG_1	cysG_1
gene_224	KLPN_ST258106	group_2808	group_2679	fhuF
gene_225	KLPN_ST258107	group_3122	group_2953	arcA
gene_226	KLPN_ST2581080	moeA_1~~~moeA_2~~~moeA	moeA_1~~~moeA_2~~~moeA	moeA
gene_227	KLPN_ST2581085	comEC	comEC	group_8381
gene_228	KLPN_ST25810880	ampH	ampH	ampH
gene_229	KLPN_ST25810881	nfdA_1	nfdA_1	nfdA_2
gene_230	KLPN_ST25810882	yajR	yajR	yajR
gene_231	KLPN_ST25810883	mdlB_2~~~mdlB	mdlB_2~~~mdlB	mdlB
gene_232	KLPN_ST25810884	acrA_2~~~acrA_1	acrA_1	acrA
gene_233	KLPN_ST25810885	group_1971	group_1847	purK
gene_234	KLPN_ST25810888	group_4580	group_4350	group_11278
gene_235	KLPN_ST25810889	group_1887	group_1759	group_9799
gene_236	KLPN_ST25810890	group_4532	group_4306	group_11784
gene_237	KLPN_ST25810891	betT_1~~~betT_2	betT_1~~~betT_2	betT
gene_238	KLPN_ST25810892	group_4700	group_4461	group_19126
gene_239	KLPN_ST25810893	ybdO_2~~~ybdO_1	ybdO_2~~~ybdO_1	ybdO_1
gene_240	KLPN_ST25810894	group_3308	group_3121	gltK
gene_241	KLPN_ST25810895	phrB_1~~~phrB_2	phrB_1~~~phrB_2	phrB
gene_242	KLPN_ST25810896	zitB_2~~~zitB_1	zitB_2~~~zitB_1	zitB
gene_243	KLPN_ST25810897	proY_1~~~proY_2	proY_1~~~proY_2	proY_2
gene_244	KLPN_ST25810898	group_7763	group_8281	aptA_2
gene_245	KLPN_ST25810899	group_2435	group_2312	cutD
gene_246	KLPN_ST25810902	puuR_1~~~puuR	puuR_1~~~puuR	puuR
gene_247	KLPN_ST25810903	group_973	group_7016	dmlR_4
gene_248	KLPN_ST25810904	group_7824	group_8345	NA
gene_249	KLPN_ST25810905	group_1881	group_1754	ydgJ_2
gene_250	KLPN_ST25810906	group_1551	group_1439	paaK
gene_251	KLPN_ST25810907	malY	malY	malY
gene_252	KLPN_ST25810908	pcaB~~~pcaB_2~~~pcaB_1	pcaB~~~pcaB_2~~~pcaB_1	pcaB
gene_253	KLPN_ST25810910	dtnK	dtnK	dtnK
gene_254	KLPN_ST25810911	group_7300	group_7712	group_6408
gene_255	KLPN_ST25810912	group_2511	group_2388	mmsB
gene_256	KLPN_ST25810913	group_942	group_5405	dctD
gene_257	KLPN_ST25810914	group_4071	group_3833	mnaT
gene_258	KLPN_ST25810915	group_1933	group_1807	xylB_2
gene_259	KLPN_ST25810916	group_4935	group_4696	mliC
gene_260	KLPN_ST25810917	group_6195	group_6616	group_11333
gene_261	KLPN_ST25810918	group_3571	group_3348	ccmA
gene_262	KLPN_ST25810919	group_960	group_5443	group_20875
gene_263	KLPN_ST25810920	group_1754	group_1632	lldD_1
gene_264	KLPN_ST25810921	group_5388	group_5140	ihfA
gene_265	KLPN_ST25810922	group_2280	group_2158	prs
gene_266	KLPN_ST25810924	group_6728	group_7147	NA
gene_267	KLPN_ST25810925	yebE_2~~~yebE_1~~~yebE	yebE_2~~~yebE_1~~~yebE	yebE
gene_268	KLPN_ST25810926	araH~~~araH_2~~~araH_1	araH~~~araH_2~~~araH_1	araH
gene_269	KLPN_ST25810928	group_2887	group_2750	group_20618
gene_270	KLPN_ST25810929	ylaC	ylaC	ylaC
gene_271	KLPN_ST25810930	sgrR_1~~~sgrR_2	sgrR_1~~~sgrR_2	sgrR_2
gene_272	KLPN_ST25810931	thiI_2~~~thiI_1	thiI_2~~~thiI_1	thiI
gene_273	KLPN_ST25810932	group_3727	group_3498	group_3730
gene_274	KLPN_ST25810934	group_6106	group_6528	group_9836
gene_275	KLPN_ST25810935	group_2534	group_2410	ubiA
gene_276	KLPN_ST25810936	aceK	aceK	aceK
gene_277	KLPN_ST25810937	group_3176	group_3001	rplA
gene_278	KLPN_ST25810938	group_3587	group_3363	rhtB_2
gene_279	KLPN_ST25810939	group_1909	group_1781	wecA
gene_280	KLPN_ST25810940	rhaB	rhaB	rhaB
gene_281	KLPN_ST25810941	group_646	group_839	mnmG
gene_282	KLPN_ST25810949	group_278	group_350	gyrB
gene_283	KLPN_ST25810950	group_3695	group_3467	mtlR
gene_284	KLPN_ST25810951	ttuB_3~~~ttuB_4~~~abaQ	ttuB_3~~~ttuB_4~~~abaQ	group_4181
gene_285	KLPN_ST25810952	nikA_1~~~nikA_2	nikA_1~~~nikA_2	nikA
gene_286	KLPN_ST25810953	lptB_1	lptB_1	lptB_3
gene_287	KLPN_ST25810954	group_490	group_604	malQ
gene_288	KLPN_ST25810955	group_5180	group_4931	nirD
gene_289	KLPN_ST25810956	bfr_1~~~bfr_2	bfr_2	bfr
gene_290	KLPN_ST25810957	trkA	trkA	trkA
gene_291	KLPN_ST25810958	group_4472	group_4242	group_11944
gene_292	KLPN_ST25810959	group_2299	group_2176	mdh_2
gene_293	KLPN_ST25810960	mlaD_1~~~mlaD_2	mlaD_1~~~mlaD_2	mlaD
gene_294	KLPN_ST25810961	group_1642	group_1527	mtr
gene_295	KLPN_ST25810962	group_2886	group_2749	garL
gene_296	KLPN_ST25810963	group_1365	group_1273	lsrA
gene_297	KLPN_ST25810964	group_642	group_831	parE
gene_298	KLPN_ST25810965	group_2393	group_2271	group_20988
gene_299	KLPN_ST25810966	group_4972	group_4729	group_11912
gene_300	KLPN_ST25810967	yqeG~~~yqeG_1~~~yqeG_2	yqeG~~~yqeG_1~~~yqeG_2	yqeG
gene_301	KLPN_ST25810968	group_4010	group_3772	rppH_1
gene_302	KLPN_ST25810969	group_4041	group_3803	pduE_1
gene_303	KLPN_ST25810970	yhfA	yhfA	yhfA
gene_304	KLPN_ST25810971	group_965	NA	envZ
gene_305	KLPN_ST25810972	group_6490	group_6906	group_9488
gene_306	KLPN_ST25810973	group_3847	group_3614	group_16813
gene_307	KLPN_ST25810974	group_2103	group_1979	phnS
gene_308	KLPN_ST25810975	group_5139	group_4890	group_19404
gene_309	KLPN_ST25810976	group_698	group_923	glmS_1
gene_310	KLPN_ST25810978	group_6698	group_7117	fabG_7
gene_311	KLPN_ST25810979	cutC_1~~~pflD~~~cutC_2	cutC_1~~~pflD~~~cutC_2	pflD
gene_312	KLPN_ST25810981	group_4531	group_4305	group_19950
gene_313	KLPN_ST25810982	group_3273	group_3093	cmk
gene_314	KLPN_ST25810983	ssuA_1	ssuA_1	ssuA_3
gene_315	KLPN_ST25810985	group_3165	group_2992	mpaA
gene_316	KLPN_ST25810986	group_4306	group_4077	NA
gene_317	KLPN_ST25810987	group_6837	group_7266	group_11794
gene_318	KLPN_ST25810988	group_5691	group_5870	group_21065
gene_319	KLPN_ST25810989	group_1005	group_1164	group_20481
gene_320	KLPN_ST25810990	group_7774	group_8292	group_8248
gene_321	KLPN_ST25810991	mhpB	mhpB	mhpB
gene_322	KLPN_ST25810992	fecE	fecE	fecE
gene_323	KLPN_ST25810993	group_7394	group_7798	group_5449
gene_324	KLPN_ST25810994	group_6646	group_7066	group_9709
gene_325	KLPN_ST25810995	group_3353	group_1233	group_20768
gene_326	KLPN_ST25810996	group_5924	group_6338	group_11891
gene_327	KLPN_ST25810997	group_2968	group_2821	znuC
gene_328	KLPN_ST25810999	spoT_2~~~spoT_1	spoT_2~~~spoT_1	spoT
gene_329	KLPN_ST2581099	rafR_2~~~rafR~~~rafR_1	rafR_2~~~rafR~~~rafR_1	rafR
gene_330	KLPN_ST25811000	group_7714	group_8227	group_9743
gene_331	KLPN_ST25811012	group_8043	group_8772	group_9426
gene_332	KLPN_ST25811048	group_6935	group_7360	group_6426
gene_333	KLPN_ST25811086	loiP	loiP	loiP
gene_334	KLPN_ST25811092	group_6478	group_6893	epsF_1
gene_335	KLPN_ST258110	group_1403	group_1307	cysN
gene_336	KLPN_ST25811162	rsmI_1~~~rsmI~~~rsmI_2	rsmI_1~~~rsmI~~~rsmI_2	rsmI
gene_337	KLPN_ST25811190	group_1465	group_1361	menE
gene_338	KLPN_ST25811193	group_5159	group_4913	group_19109
gene_339	KLPN_ST25811194	narG~~~narG_2	narG~~~narG_2	narG
gene_340	KLPN_ST25811195	group_612	group_770	thrS
gene_341	KLPN_ST25811196	group_2138	group_2012	group_11504
gene_342	KLPN_ST25811197	group_2749	group_2620	mhpD
gene_343	KLPN_ST25811198	group_199	group_297	group_3619
gene_344	KLPN_ST25811199	group_2343	group_2220	hbd
gene_345	KLPN_ST258111	cbiK	cbiK	cbiK
gene_346	KLPN_ST25811200	group_2889	group_2752	group_11340
gene_347	KLPN_ST25811201	ortT	ortT	ortT
gene_348	KLPN_ST25811202	rhaS_5	rhaS_5	rhaS_5
gene_349	KLPN_ST25811203	gsiD_2	gsiD_2	ddpC_2
gene_350	KLPN_ST25811206	group_5066	group_4817	group_19805
gene_351	KLPN_ST25811207	group_104	group_151	group_9849
gene_352	KLPN_ST25811208	rstA_2~~~rstA~~~rstA_1	rstA_2~~~rstA~~~rstA_1	rstA
gene_353	KLPN_ST25811209	group_4490	group_4263	hslJ
gene_354	KLPN_ST25811212	group_7717	group_8230	group_8266
gene_355	KLPN_ST25811213	sacX	sacX	sacX
gene_356	KLPN_ST25811215	ybaB	ybaB	ybaB
gene_357	KLPN_ST25811216	hisC_3	hisC_3	norG_1
gene_358	KLPN_ST25811217	group_5137	group_4888	group_19226
gene_359	KLPN_ST25811218	group_1863	group_1735	tgt
gene_360	KLPN_ST25811219	group_3334	group_3142	group_20531
gene_361	KLPN_ST25811220	group_3178	group_3003	acuR
gene_362	KLPN_ST25811221	group_303	group_467	NA
gene_363	KLPN_ST25811222	group_7682	group_8186	NA
gene_364	KLPN_ST25811223	bglB	bglB	bglB
gene_365	KLPN_ST25811224	pdeN_2~~~pdeN_1~~~pdeN	pdeN_2~~~pdeN_1~~~pdeN	pdeN
gene_366	KLPN_ST25811225	nrdA_2~~~nrdA_1	nrdA_2~~~nrdA_1	nrdA
gene_367	KLPN_ST25811226	group_2201	group_2076	nuoH
gene_368	KLPN_ST25811227	group_1613	group_1502	folC
gene_369	KLPN_ST25811228	group_2227	group_2104	glk
gene_370	KLPN_ST25811229	yfeZ	yfeZ	yfeZ
gene_371	KLPN_ST25811230	tmcA_2~~~tmcA~~~tmcA_1	tmcA_2~~~tmcA~~~tmcA_1	tmcA
gene_372	KLPN_ST25811232	tadA_1	group_5240	tadA
gene_373	KLPN_ST25811233	group_1802	group_1678	pheA
gene_374	KLPN_ST25811234	nlpD_2	nlpD_2	nlpD_1
gene_375	KLPN_ST25811235	group_3928	group_3696	syd
gene_376	KLPN_ST25811236	group_4282	group_4055	group_21099
gene_377	KLPN_ST25811237	group_5113	group_4866	group_11940
gene_378	KLPN_ST25811238	group_3589	group_3365	rpsD
gene_379	KLPN_ST25811239	tusC	tusC	tusC
gene_380	KLPN_ST25811240	aroB_2~~~aroB_1	aroB_2~~~aroB_1	aroB
gene_381	KLPN_ST25811241	group_8202	group_8948	group_7831
gene_382	KLPN_ST25811242	puuE	puuE	puuE
gene_383	KLPN_ST25811243	aceB	aceB	aceB
gene_384	KLPN_ST25811246	group_7985	rfaH~~~rfaH_1	rfaH_1
gene_385	KLPN_ST25811247	group_2255	group_2132	hemC
gene_386	KLPN_ST25811248	group_5759	group_5975	ilvM
gene_387	KLPN_ST25811249	cytR_3~~~cytR_4	cytR_3~~~cytR_4	cytR_3
gene_388	KLPN_ST25811250	group_4509	group_4282	ulaC_1
gene_389	KLPN_ST25811251	group_2316	group_2192	hldD
gene_390	KLPN_ST25811254	bcsA~~~bcsA_1~~~bcsA_2	bcsA~~~bcsA_1~~~bcsA_2	bcsA
gene_391	KLPN_ST25811278	group_7665	group_8169	group_2710
gene_392	KLPN_ST25811280	kdgR_1~~~kdgR_2	kdgR_1~~~kdgR_2	kdgR_1
gene_393	KLPN_ST258112	lysA	lysA	lysA
gene_394	KLPN_ST25811304	lsrF_2	lsrF_2	NA
gene_395	KLPN_ST25811336	group_2549	group_2426	cho
