gene_name	panacota	panaroo	panaroodefault	roarydefault
gene_178	KLPN_ST30710825	group_2269	group_2479	ahr
gene_179	KLPN_ST30710826	group_6716	group_6967	pyrI
gene_180	KLPN_ST30710827	group_1274	group_1486	ytfT
gene_181	KLPN_ST30710828	yfcJ	yfcJ	yfcJ
gene_182	KLPN_ST30710829	group_2634	group_2876	psd
gene_183	KLPN_ST30710830	group_271	group_268	dsbD_2
gene_184	KLPN_ST30710831	group_4464	group_4772	phnP
gene_185	KLPN_ST30710832	group_3446	group_3740	group_7389
gene_186	KLPN_ST30710833	group_6453	group_6715	ubiC
gene_187	KLPN_ST30710834	group_971	group_1176	aceB
gene_188	KLPN_ST30710835	group_6118	group_6386	nusG
gene_189	KLPN_ST30710836	group_5655	group_5937	rhtC_3
gene_190	KLPN_ST30710837	group_7678	group_7863	trxA
gene_191	KLPN_ST30710838	rhaS_4	rhaS_4	rhaS_4
gene_192	KLPN_ST30710839	group_3683	group_2994	rhaD
gene_193	KLPN_ST30710840	group_3421	group_3714	group_15118
gene_194	KLPN_ST30710841	group_1911	group_2119	recF_2
gene_195	KLPN_ST30710842	group_2244	group_2456	uhpA
gene_196	KLPN_ST30710843	group_1069	group_1274	oprM_3
gene_197	KLPN_ST30710845	group_935	group_1140	ttuB_3
gene_198	KLPN_ST30710846	group_2577	group_2820	bcsC
gene_199	KLPN_ST30710847	group_6383	group_6650	padC
gene_200	KLPN_ST30710848	group_8640	group_8784	group_6576
gene_201	KLPN_ST30710849	group_2596	group_2838	nfuA
gene_202	KLPN_ST30710850	group_9343	group_9433	group_15140
gene_203	KLPN_ST30710851	group_7815	group_7990	rpsJ
gene_204	KLPN_ST30710852	group_2760	group_3002	fmt
gene_205	KLPN_ST30710853	group_2830	group_3070	mdh_2
gene_206	KLPN_ST30710854	group_6072	group_6342	mlaD
gene_207	KLPN_ST30710855	group_1231	group_1435	mtr
gene_208	KLPN_ST30710856	group_5477	group_5763	garL
gene_209	KLPN_ST30710857	group_797	group_1001	lsrR
gene_210	KLPN_ST30710858	group_2344	group_2552	adhP
gene_211	KLPN_ST30710859	group_2821	group_3061	group_2655
gene_212	KLPN_ST30710860	group_6205	group_6472	group_6721
gene_213	KLPN_ST30710861	tenA	tenA	tenA
gene_214	KLPN_ST30710862	group_8234	group_8396	grxA
gene_215	KLPN_ST30710863	group_4499	group_4809	moeB
gene_216	KLPN_ST30710864	aptB_2~~~aptB	aptB_2~~~aptB	aptB
gene_217	KLPN_ST30710865	group_6618	group_6875	group_15023
gene_218	KLPN_ST30710868	group_1783	group_1992	htpG
gene_219	KLPN_ST30710869	rcnA	rcnA	rcnA
gene_220	KLPN_ST30710870	group_7674	group_7859	cyoD
gene_221	KLPN_ST30710871	group_269	group_266	secD
gene_222	KLPN_ST30710872	psiF	psiF	psiF
gene_223	KLPN_ST30710873	group_5285	group_5576	glnP_1
gene_224	KLPN_ST30710874	group_2553	group_2795	group_7789
gene_225	KLPN_ST30710875	group_3509	group_2200	tsf
gene_226	KLPN_ST30710876	epsL	epsL	epsL
gene_227	KLPN_ST30710877	group_514	group_702	lpdA
gene_228	KLPN_ST30710878	group_6150	group_6419	citX
gene_229	KLPN_ST30710879	group_2123	group_2337	rihC
gene_230	KLPN_ST30710880	group_5504	group_5787	cobC_1
gene_231	KLPN_ST30710881	group_1362	group_1577	pobA
gene_232	KLPN_ST30710882	hcnB	hcnB	hcnB
gene_233	KLPN_ST30710884	group_7566	group_7761	cusF_2
gene_234	KLPN_ST30710885	group_1656	group_1869	group_8067
gene_235	KLPN_ST30710886	group_835	group_1037	ugpB_2
gene_236	KLPN_ST30710887	group_339	group_337	treC
gene_237	KLPN_ST30710888	group_9357	group_9447	group_7270
gene_238	KLPN_ST30710889	group_7858	group_8037	ulaB_2
gene_239	KLPN_ST30710890	group_4767	group_5086	frdB
gene_240	KLPN_ST30710891	group_7984	group_8157	group_7433
gene_241	KLPN_ST30710892	group_2318	group_2528	ccpA
gene_242	KLPN_ST30710893	malF	malF	malF
gene_243	KLPN_ST30710894	group_7291	group_1089	purD
gene_244	KLPN_ST30710895	group_2196	group_2409	murB
gene_245	KLPN_ST30710896	group_9416	group_2989	corA
gene_246	KLPN_ST30710897	group_4928	group_6947	ydfK_1
gene_247	KLPN_ST30710898	hdfR_1	hdfR_1	catM
gene_248	KLPN_ST30710899	group_2199	group_2412	adhB
gene_249	KLPN_ST30710900	group_537	group_742	ntrC
gene_250	KLPN_ST30710901	group_410	group_470	atpA
gene_251	KLPN_ST30710913	group_1949	group_2156	ufaA1
gene_252	KLPN_ST30710921	group_1361	group_1573	emrD
gene_253	KLPN_ST30710922	galD_1~~~galD	galD_1~~~galD	galD
gene_254	KLPN_ST30710923	group_5530	group_5813	pyrE
gene_255	KLPN_ST30710924	group_3759	group_4067	cysE
gene_256	KLPN_ST30710925	group_371	group_368	ettA_2
gene_257	KLPN_ST30710926	group_7912	group_8090	group_15316
gene_258	KLPN_ST30710927	group_1792	group_2002	aroB
gene_259	KLPN_ST30710928	tusC	tusC	tusC
gene_260	KLPN_ST30710929	group_5657	group_5939	rpsD
gene_261	KLPN_ST30710931	group_1187	group_1395	group_15738
gene_262	KLPN_ST30710932	group_4189	group_4496	glnQ_3
gene_263	KLPN_ST30710934	group_6408	group_6672	group_6688
gene_264	KLPN_ST30710935	group_1205	group_1413	dhmA
gene_265	KLPN_ST30710936	group_6992	group_7260	phnO
gene_266	KLPN_ST30710937	group_1224	group_1433	group_7991
gene_267	KLPN_ST30710938	group_4136	group_4475	group_3945
gene_268	KLPN_ST30710939	group_2449	group_2656	group_2855
gene_269	KLPN_ST30710943	group_8774	group_8910	group_16022
gene_270	KLPN_ST30710944	group_2715	group_9511	metR
gene_271	KLPN_ST30710945	group_1952	group_2159	rffG
gene_272	KLPN_ST30710946	group_6593	group_6849	argH
gene_273	KLPN_ST30710947	group_5654	group_5936	sodA
gene_274	KLPN_ST30710948	group_2900	group_3137	fdhE
gene_275	KLPN_ST30710949	viaA	viaA	viaA
gene_276	KLPN_ST30710950	group_662	group_867	mnmE
gene_277	KLPN_ST30710955	group_2120	group_2334	group_3603
gene_278	KLPN_ST30710956	group_6920	group_7191	uspG_3
gene_279	KLPN_ST30710962	group_2287	group_2497	fbaA_1
gene_280	KLPN_ST30710965	tehA	tehA	tehA
gene_281	KLPN_ST30710966	group_1703	group_4069	mngA
gene_282	KLPN_ST30710967	group_5873	group_6155	yhdE
gene_283	KLPN_ST30710968	rapZ	rapZ	rapZ
gene_284	KLPN_ST30710969	group_1743	group_1955	group_4903
gene_285	KLPN_ST30710970	group_8032	group_8204	gatB
gene_286	KLPN_ST30710971	group_536	group_740	uxaC
gene_287	KLPN_ST30710972	group_327	group_326	dhaB
gene_288	KLPN_ST30710973	group_1573	group_1786	argO
gene_289	KLPN_ST30710984	group_2248	group_2460	group_1773
gene_290	KLPN_ST30711019	ksdD	ksdD	ksdD
gene_291	KLPN_ST30711092	group_5517	group_5800	group_15154
gene_292	KLPN_ST30711093	group_3136	group_3388	dmlR_16
gene_293	KLPN_ST30711094	group_2104	group_2317	yhhT_2
gene_294	KLPN_ST30711095	yhhA	yhhA	yhhA
gene_295	KLPN_ST30711096	yhgF	yhgF	yhgF
gene_296	KLPN_ST30711097	group_1170	group_1378	argD
gene_297	KLPN_ST30711098	group_7355	group_5548	rpsC
gene_298	KLPN_ST30711099	group_8306	group_8467	group_15094
gene_299	KLPN_ST30711100	panF_1~~~panF_2	panF_1~~~panF_2	panF
gene_300	KLPN_ST30711101	nanE_1~~~nanE_2	nanE_1~~~nanE_2	nanE
gene_301	KLPN_ST30711102	yhbE	yhbE	yhbE
gene_302	KLPN_ST30711103	group_5503	group_5786	group_15970
gene_303	KLPN_ST30711104	group_7381	group_7591	yhaH
gene_304	KLPN_ST30711105	group_4228	group_4538	yqjH
gene_305	KLPN_ST30711106	group_135	group_137	parC
gene_306	KLPN_ST30711107	yggX	yggX	yggX
gene_307	KLPN_ST30711108	group_1529	group_1743	menH_5
gene_308	KLPN_ST30711109	group_8150	group_8314	group_14967
gene_309	KLPN_ST30711110	ogl	ogl	ogl
gene_310	KLPN_ST30711111	group_6030	group_6304	group_6349
gene_311	KLPN_ST30711112	group_2111	group_2325	group_1505
gene_312	KLPN_ST30711113	group_2909	group_3147	ygcS
gene_313	KLPN_ST30711114	ygbE	ygbE	ygbE
gene_314	KLPN_ST30711115	hmuU_3	hmuU_3	hmuU_3
gene_315	KLPN_ST30711116	group_311	group_308	hycE
gene_316	KLPN_ST30711117	group_7786	group_7962	group_15337
gene_317	KLPN_ST30711118	group_1372	group_1584	acoR
gene_318	KLPN_ST30711119	group_91	group_92	clpB
gene_319	KLPN_ST30711122	group_7599	group_7789	glnB
gene_320	KLPN_ST30711123	group_1674	group_1887	ispG
gene_321	KLPN_ST30711124	bepA	bepA	bepA
gene_322	KLPN_ST30711125	group_1398	group_1610	eutB_2
gene_323	KLPN_ST30711126	group_7190	group_7437	group_7366
gene_324	KLPN_ST30711127	group_3085	group_3323	group_2170
gene_325	KLPN_ST30711129	group_4426	group_4739	mlaA
gene_326	KLPN_ST30711130	group_1408	group_1619	group_5337
gene_327	KLPN_ST30711131	group_1587	group_1799	menD
gene_328	KLPN_ST30711132	group_2704	group_2945	group_3495
gene_329	KLPN_ST30711133	group_1841	group_2051	fruA_2
gene_330	KLPN_ST30711134	yehW	yehW	yehW
gene_331	KLPN_ST30711135	group_4263	group_4574	group_7066
gene_332	KLPN_ST30711136	group_2725	group_2965	group_4879
gene_333	KLPN_ST30711137	group_2365	group_2572	group_6810
gene_334	KLPN_ST30711138	group_2863	group_3102	group_2131
gene_335	KLPN_ST30711139	napA	napA	nasA
gene_336	KLPN_ST30711140	group_2946	group_3186	group_1811
gene_337	KLPN_ST30711141	group_5328	group_3794	xecA1
gene_338	KLPN_ST30711142	group_1167	group_1374	group_3860
gene_339	KLPN_ST30711143	group_1044	group_1250	group_7818
gene_340	KLPN_ST30711144	budC	budC	budC
gene_341	KLPN_ST30711145	btuD_6	btuD_6	oppF_1
gene_342	KLPN_ST30711146	nemA_2~~~nemA_1	nemA_2~~~nemA_1	nemA
gene_343	KLPN_ST30711147	group_6698	group_6949	group_15973
gene_344	KLPN_ST30711148	ssuD_2~~~ssuD_1	ssuD_2~~~ssuD_1	ssuD
gene_345	KLPN_ST30711149	aroA_3~~~aroA_4	aroA_3~~~aroA_4	aroA
gene_346	KLPN_ST30711150	group_5804	group_6087	ybjG
gene_347	KLPN_ST30711151	rhtA	rhtA	rhtA
gene_348	KLPN_ST30711152	group_6346	group_6613	moaB
gene_349	KLPN_ST30711153	group_5788	group_6072	xcpW
gene_350	KLPN_ST30711154	group_2253	group_2464	group_4830
gene_351	KLPN_ST30711155	group_1144	group_1350	murF
gene_352	KLPN_ST30711156	group_3312	group_3579	rapA
gene_353	KLPN_ST30711157	group_2902	group_3141	dmlR_6
gene_354	KLPN_ST30711159	pgaA	pgaA	pgaA
gene_355	KLPN_ST30711161	iraM	iraM	iraM
gene_356	KLPN_ST30711162	group_7078	group_7342	psiE
gene_357	KLPN_ST30711163	group_564	group_774	zraS
gene_358	KLPN_ST30711164	group_485	group_642	trkH
gene_359	KLPN_ST30711165	group_5027	group_7133	yigB
gene_360	KLPN_ST30711166	group_8055	group_8227	ppiC_1
gene_361	KLPN_ST30711167	group_401	group_445	yfkN
gene_362	KLPN_ST30711168	melY	melY	melY
gene_363	KLPN_ST30711169	yihI	yihI	yihI
gene_364	KLPN_ST30711170	group_603	group_813	atpD
gene_365	KLPN_ST30711176	group_6816	group_7081	group_7765
gene_366	KLPN_ST30711177	group_7978	group_8151	group_6526
gene_367	KLPN_ST30711178	group_2809	group_3050	group_2086
gene_368	KLPN_ST30711179	group_5785	group_6069	slmA
gene_369	KLPN_ST30711180	group_6640	group_6893	trmL_2
gene_370	KLPN_ST30711181	group_8745	group_8882	cspA
gene_371	KLPN_ST30711182	group_2157	group_2370	cusB_2
gene_372	KLPN_ST30711184	group_6850	group_7115	farR
gene_373	KLPN_ST30711185	group_4233	group_5618	yjjP
gene_374	KLPN_ST30711186	group_3612	group_5915	yjjX
gene_375	KLPN_ST30711187	yhaI	yhaI	yhaI
gene_376	KLPN_ST30711188	group_1854	group_2064	rluA_2
gene_377	KLPN_ST30711189	group_458	group_577	murE
gene_378	KLPN_ST30711190	group_8030	group_8202	group_6930
gene_379	KLPN_ST30711191	group_1074	group_1279	gspK
gene_380	KLPN_ST30711192	group_6033	group_6307	frr
gene_381	KLPN_ST30711193	group_1327	group_1544	ydhP_2
gene_382	KLPN_ST30711194	group_1757	group_1968	group_15061
gene_383	KLPN_ST30711195	group_2963	group_3203	group_3840
gene_384	KLPN_ST30711196	group_3792	group_4107	glnQ_5
gene_385	KLPN_ST30711197	group_6739	group_6988	group_15157
gene_386	KLPN_ST30711198	yqjF	yqjF	yqjF
gene_387	KLPN_ST30711199	group_520	group_710	dhaM
gene_388	KLPN_ST30711200	group_1415	group_1626	group_3244
gene_389	KLPN_ST30711201	group_2207	group_2420	bglH_2
gene_390	KLPN_ST30711202	group_2820	group_3060	leuA_1
gene_391	KLPN_ST30711203	group_1189	group_1397	fimD_4
gene_392	KLPN_ST30711204	group_3791	group_4138	recN
gene_393	KLPN_ST30711205	group_7278	group_7504	grcA
gene_394	KLPN_ST30711206	yejK_2~~~yejK_1	yejK_2~~~yejK_1	yejK
gene_395	KLPN_ST30711208	ygiW_1	ygiW_1	ygiW_1
gene_396	KLPN_ST30711209	group_5294	group_5585	group_15088
gene_397	KLPN_ST30711210	group_1468	group_1682	rhaR_4
gene_398	KLPN_ST30711211	group_3070	group_3314	group_15435
gene_399	KLPN_ST30711213	group_1718	group_1931	yliI
gene_400	KLPN_ST30711214	group_5368	group_5657	basR
gene_401	KLPN_ST30711215	group_7857	group_8036	group_15117
gene_402	KLPN_ST30711216	group_7325	group_2895	kdpE
gene_403	KLPN_ST30711217	group_3946	group_4288	leuS
gene_404	KLPN_ST30711218	group_632	group_841	mtnD
gene_405	KLPN_ST30711219	group_2055	group_2268	entA
gene_406	KLPN_ST30711220	group_5268	group_5559	group_7534
gene_407	KLPN_ST30711221	manZ_2	manZ_2	NA
gene_408	KLPN_ST30711222	group_4232	group_4542	hisJ_1
gene_409	KLPN_ST30711224	ycaO_3~~~ycaO_2~~~ycaO	ycaO_3~~~ycaO_2~~~ycaO	ycaO
gene_410	KLPN_ST30711226	add_1~~~add_2	add_1~~~add_2	add
gene_411	KLPN_ST30711227	group_5502	group_5785	rnt
gene_412	KLPN_ST30711228	group_6522	group_6779	group_6597
gene_413	KLPN_ST30711229	group_6177	group_6445	group_6590
gene_414	KLPN_ST30711230	group_7164	group_7416	rpsF
gene_415	KLPN_ST30711231	group_6116	group_6384	orn
gene_416	KLPN_ST30711232	group_864	group_1067	dcuA
gene_417	KLPN_ST30711235	group_6918	group_7189	osmC
gene_418	KLPN_ST30711241	group_1907	group_2115	moaA
gene_419	KLPN_ST30711242	group_1417	group_1628	dps
gene_420	KLPN_ST30711243	group_4462	group_4770	deoR
gene_421	KLPN_ST30711244	group_5578	group_5864	thiE
gene_422	KLPN_ST30711264	group_1261	group_1471	group_4451
gene_423	KLPN_ST30711268	group_571	group_781	uhpT
gene_424	KLPN_ST30711310	rnk	rnk	rnk
gene_425	KLPN_ST30711435	group_3749	group_4086	NA
gene_426	KLPN_ST30711454	group_179	group_179	glyS
gene_427	KLPN_ST30711455	bcsG_2~~~bcsG_1~~~bcsG	bcsG_2~~~bcsG_1~~~bcsG	bcsG
gene_428	KLPN_ST30711456	group_2312	group_9486	group_15424
gene_429	KLPN_ST30711457	group_439	group_534	glpD
gene_430	KLPN_ST30711458	tusB	tusB	tusB
gene_431	KLPN_ST30711459	group_2493	group_2717	rpoA
gene_432	KLPN_ST30711460	group_2098	group_2311	mreB
gene_433	KLPN_ST30711461	group_5462	group_5749	elbB
gene_434	KLPN_ST30711462	group_6913	group_7184	glmM
gene_435	KLPN_ST30711463	group_4267	group_4579	srlR_4
gene_436	KLPN_ST30711464	yqjA	yqjA	yqjA
gene_437	KLPN_ST30711465	group_1073	group_1278	group_7081
gene_438	KLPN_ST30711466	group_1013	group_1219	group_3779
gene_439	KLPN_ST30711467	group_1634	group_1847	metC_1
gene_440	KLPN_ST30711468	group_7245	group_5530	yggS
gene_441	KLPN_ST30711469	group_1463	group_1676	pgk
gene_442	KLPN_ST30711470	group_1287	group_1499	recJ
gene_443	KLPN_ST30711471	group_6174	group_6442	fimA_2
gene_444	KLPN_ST30711472	group_3210	group_3466	lacF
